Client,Format vidéo,Lien vidéo publicitaire,Date de création,Statut,Notes,Logo
GRAND LITIER RÉUNION,,,,,,https://drive.google.com/file/d/1gZFzUqCTyq3JXjU9f7PEdpFnbdH2RKn2/view?usp=drive_link
HÉRACLES COACHING,MOV,https://drive.google.com/file/d/1tHAthBzIaicnE1Hh2oah363VmzDb47By/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
INSTITUT DESBEANCE,MOV,https://drive.google.com/file/d/1Oyjcr3YQea8_7buapXrTCSIfmv23yhJc/view?usp=drive_link,,,,
INTÉRIEURS PRIVÉS,MP4,https://drive.google.com/file/d/15qtyZs4gSIXnaY2DTn-Yl9pzn-opqv5Y/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
IXINA RÉUNION ,,,,,,https://drive.google.com/file/d/1O5NMJmM6v2PMTiDud7If2d9XMOi-7u8O/view?usp=drive_link
LA PART DES ANGES,MP4,https://drive.google.com/file/d/1t1WjH6DUiNXiMydit05VOLSaHMYD2H8x/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LADRESS,MP4,https://drive.google.com/file/d/1QsGOlwSJ2q5d-9ugFH_okuNI0RPYXliA/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LE GOÛT DU VIN,MP4,https://drive.google.com/file/d/1KXtkSwBUNFw7y-frVpXUlR5wb38ACTNg/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LELINGE.RE,MP4,https://drive.google.com/file/d/1rf85e6bqWTayeJbquozI8lAws4npWkhu/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LES CAFÉS D'ITALIE,MP4,https://drive.google.com/file/d/1Thyud_cziAZbdZHOBXf3QrjixBeARNCn/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LILOO BEAUTY,MOV,https://drive.google.com/file/d/1QbKIuDdZy7DOaBaaqstEDgEiVFL5NRNv/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LITTLE LIBELULLE,MP4,https://drive.google.com/file/d/1OaZvS7a5qkuSbNJ0tPVBbSCawcSPdBru/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LODGES PARADISE ,,,,,,https://drive.google.com/file/d/1yK23LZcUaSVziXDhHkCiCzIwtGi-H7Ao/view?usp=drive_link
NATUCCI ESTETICA,,,,,,https://drive.google.com/file/d/14w33PEMCEqiXf18kPR7CdmCyIyMut5Ky/view?usp=drive_link
NOMAD,MP4,https://drive.google.com/file/d/1HLSabnYLDkG809K2WjyF_yYG-Xwgcdz4/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
ONE-MARKET,MP4,https://drive.google.com/file/d/1VphfNIVmj9fx8_XhJJauWcN-19ourrQ8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PAPANG,MOV,https://drive.google.com/file/d/17tdlwfnVUzoAI-89PM2b2TPl7IMVkxvw/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PASS-XP,MP4,https://drive.google.com/file/d/1lurkFaorIzA13pzQZwmlJnQATb8aitz8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PÊCHE PASSION,MP4,https://drive.google.com/file/d/16kzxc85DZHY98Bnr6IbQbKy6OqSaPS-x/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PIZZA LE CRATÈRE ,,,,,,https://drive.google.com/file/d/1T2M6YhFXJV2uTWCK3HIJma4Vk1v02ptr/view?usp=drive_link
POKAWA,MP4,https://drive.google.com/file/d/1QEEew4OX-8n6C0owgEZJsOr3utsw3JDv/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
RUN CYBER CONSEILS ,,,,,,https://drive.google.com/file/d/1Lu5sxqaPGgevzHSIq8fq2qw_lKng-wso/view?usp=drive_link
SAM CONCEPT HABITAT,MP4,https://drive.google.com/file/d/1HU7l11ipKjiFdIZFIr5MHg3TfdC3TXNQ/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
TWINS DESIGN,MP4,https://drive.google.com/file/d/1_h2B0fMIr8v7zpNkwo4bQ5R9qn5_6Wd8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
TERASSEMENT OCÉAN INDIEN ,,,,,,https://drive.google.com/file/d/1lEXR2tQLFKVbx-6W3QQcTwOiBXkZGvKa/view?usp=drive_link
ULM,MOV,https://drive.google.com/file/d/1xyqjRi8WS0LXmFYTSeb2SwAfyWjFzpOK/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
VANILLE JEU-CONCOURS,MOV,https://drive.google.com/file/d/10jeKKTY4GTLIINV_3dq8OjaxkVhZsNee/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
VEILLE À NÔU,MOV,https://drive.google.com/file/d/1sj0xI9wfUVDPoGYkLmKUI5a8EMTgsuo8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
